name,color,width,height,rabbet,pcs,ft,condition,img_url,category
L1302S-BR334,Espresso,2  1/4 ,1  3/8 ,  3/8 ,18,171,N/A,https://i.postimg.cc/1RCSsDmf/L1302-S-BR334.jpg,Between 2 and 3 inches
L1302S-G336,Champagne,2  1/4 ,1  3/8 ,  3/8 ,18,171,N/A,https://i.postimg.cc/ZnyKB61B/img-soon.jpg,Between 2 and 3 inches
L1302S-S336,Silver,2  1/4 ,1  3/8 ,  3/8 ,18,171,N/A,https://i.postimg.cc/ZnyKB61B/img-soon.jpg,Between 2 and 3 inches
L1302S-S345,Silver,2  1/4 ,1  3/8 ,  3/8 ,18,171,N/A,https://i.postimg.cc/ZnyKB61B/img-soon.jpg,Between 2 and 3 inches
L1302-W26,White,2  1/4 ,1  3/8 ,  3/8 ,8,76,N/A,https://i.postimg.cc/3JzHD7Dh/L1302-W26.jpg,Between 2 and 3 inches
L1501E-BK92,N/A,N/A,N/A,N/A,10,95,N/A,https://i.postimg.cc/ZnyKB61B/img-soon.jpg,Greater than 3 inches
L902-S205,Silver,2 15/16,1  7/16,  9/16,12,114,N/A,https://i.postimg.cc/MGQC4CYJ/L902-S205-edit.jpg,Between 2 and 3 inches
L904-2136,Bronze/Silver,4  3/16,1  3/4 ,  1/2 ,6,57,N/A,https://i.postimg.cc/wxVvJt6p/L904-2136.jpg,Greater than 3 inches
L904-5018,Black/Silver,4  3/16,1  3/4 ,  1/2 ,6,57,N/A,https://i.postimg.cc/Y0pCZ7zZ/L904-5018.jpg,Greater than 3 inches
L904-519NE,Espresso,4  3/16,1  3/4 ,  1/2 ,6,57,N/A,https://i.postimg.cc/k4N5TGKW/L904-519-NE.jpg,Greater than 3 inches
L904-551,Espresso/Gold,4  3/16,1  3/4 ,  1/2 ,6,57,N/A,https://i.postimg.cc/2y2SftH6/L904-551.jpg,Greater than 3 inches
L904-BR210,Maple,4  3/16,1  3/4 ,  1/2 ,6,57,N/A,https://i.postimg.cc/ZnyKB61B/img-soon.jpg,Greater than 3 inches
L904-BR223,Walnut,4  3/16,1  3/4 ,  1/2 ,6,57,N/A,https://i.postimg.cc/ZnyKB61B/img-soon.jpg,Greater than 3 inches
LB05-BR110,Champagne,2,1  1/8 ,  1/2 ,24,228,N/A,https://i.postimg.cc/fRXQcFx9/LB05-BR110.jpg,Between 2 and 3 inches
LB05-GBK50,Black/Gold,2,1  1/8 ,  1/2 ,24,228,N/A,https://i.postimg.cc/s2rdwcc0/LB05-GBK50.jpg,Between 2 and 3 inches
M051-165,Gold,2 15/16,1  5/8 , 15/16,8,76,N/A,https://i.postimg.cc/cH1qNLPR/M051-165.jpg,Between 2 and 3 inches
M051-BK,Black,2 15/16,1  5/8 , 15/16,8,76,N/A,https://i.postimg.cc/vmtRjV28/M051-BK.jpg,Between 2 and 3 inches
M053-1057A,Gold,2  1/4 ,1  1/4 , 13/16,12,114,N/A,https://i.postimg.cc/gjrfnBzr/M053-1057-A.jpg,Between 2 and 3 inches
M053-1058A,Silver,2  1/4 ,1  1/4 ,1,12,114,N/A,https://i.postimg.cc/W35BpPPQ/M053-1058-A.jpg,Between 2 and 3 inches
M053-BR,Walnut,2  1/4 ,1  1/4 , 13/16,12,114,N/A,https://i.postimg.cc/3J2JxyzC/M053-BR.jpg,Between 2 and 3 inches
M069-2051,Silver,2 13/16,1,  3/8 ,12,114,N/A,https://i.postimg.cc/PJc0ZzJy/M069-2051.jpg,Between 2 and 3 inches
M069-G525,Chestnut/Gold,2 13/16,1,  3/8 ,12,114,N/A,https://i.postimg.cc/h43kHgsm/M069-G525.jpg,Between 2 and 3 inches
M071-604E,White,2 13/16,1,  3/8 ,12,114,N/A,https://i.postimg.cc/htVNzmB8/M071-604-E.jpg,Between 2 and 3 inches
