name,color,width,height,rabbet,pcs,ft,condition,img_url,category
L042-BR216,Espresso,3  1/8 ,1  7/16, 11/16,12,114,closeout,https://i.postimg.cc/5N5FJ9Qy/L042-BR216.jpg,Greater than 3 inches
L043-BR223,Walnut,3  3/8 ,1  9/16,  7/16,8,76,closeout,https://i.postimg.cc/sgVGgF5c/L043-BR223.jpg,Greater than 3 inches
L046-CR82,Burgundy,3  1/4 ,1 13/16,  1/2 ,8,76,closeout,https://i.postimg.cc/CxmBZvNV/L046-CR82.jpg,Greater than 3 inches
L052-3014,Walnut,4 1/2,2 1/8,  3/4 ,4,38,closeout,https://i.postimg.cc/ZnyKB61B/img-soon.jpg,Greater than 3 inches
L058-3033,Walnut,3  5/16,1  1/8 ,  3/8 ,12,114,closeout,https://i.postimg.cc/XvqZ9wHB/L058-3033.jpg,Greater than 3 inches
L061-3087,Espresso,3  3/16,1  3/4 ,  3/8 ,8,76,closeout,https://i.postimg.cc/cJzvhr29/L061-3087.jpg,Greater than 3 inches
L061-3089,Gold,3  3/16,1  3/4 ,  3/8 ,8,76,closeout,https://i.postimg.cc/ydSkb7zV/L061-3089.jpg,Greater than 3 inches
L062-BK,Espresso,3  9/16,1  9/16,  9/16,6,57,closeout,https://i.postimg.cc/hvLhKMj6/L062-BK.jpg,Greater than 3 inches
L066-3146,Walnut,3  5/8 ,1  3/16,  1/2 ,8,76,closeout,https://i.postimg.cc/905r3sWy/L066-3146.jpg,Greater than 3 inches
L066-4025,Charcoal,3  5/8 ,1  3/16,  1/2 ,8,76,closeout,https://i.postimg.cc/KcB17cNf/L066-4025.jpg,Greater than 3 inches
L080-BK,Black,3  3/4 ,1 1/4,  1/2 ,12,114,closeout,https://i.postimg.cc/rwnsyDVV/L080-BK.jpg,Greater than 3 inches
L088-265,Silver,3  3/4 ,1  3/16,  1/2 ,12,114,closeout,https://i.postimg.cc/MZnnYppZ/L088-265-edit.jpg,Greater than 3 inches
L090-1074,Gold,3,1  3/8 ,  1/2 ,12,114,closeout,https://i.postimg.cc/Bvj6jJbx/L090-1074.jpg,Between 2 and 3 inches
L090-6058,White,3,1  3/8 ,  1/2 ,12,114,closeout,https://i.postimg.cc/nc1M5dNQ/L090-6058.jpg,Between 2 and 3 inches
L1002-BK91,Black,4  1/4 ,1  1/4 ,  7/16,8,76,closeout,https://i.postimg.cc/xT91Kvqj/L1002-BK91.jpg,Greater than 3 inches
L1002-BK99,Black,4  1/4 ,1  1/4 ,  7/16,8,76,closeout,https://i.postimg.cc/Gm23fbkZ/L1002-BK99.jpg,Greater than 3 inches
L1002-CR75,Black,4  1/4 ,1  1/4 ,  7/16,8,76,closeout,https://i.postimg.cc/Gm53w6K9/L1002-CR75.jpg,Greater than 3 inches
L1003E-BK92,Charcoal,3  3/8 ,1,  3/8 ,12,114,closeout,https://i.postimg.cc/8581sWqS/L1003-E-BK92.jpg,Greater than 3 inches
L1003R-BK109,Black,3  3/8 ,1,  3/8 ,12,114,closeout,https://i.postimg.cc/XJwn5qby/L1003-R-BK109.jpg,Greater than 3 inches
L1003R-BR309,Espresso,3  3/8 ,1,  3/8 ,12,114,closeout,https://i.postimg.cc/x1bcvzzt/L1003-R-BR309.jpg,Greater than 3 inches
L1003R-S332,Burnt Silver,3  3/8 ,1,  3/8 ,12,114,closeout,https://i.postimg.cc/fyCZHPkz/L1003-R-S332.jpg,Greater than 3 inches
L1006C-S94,Silver,3  1/4 ,1  3/4 ,  7/16 ,8,76,closeout,https://i.postimg.cc/sxRYvNzr/1006-C-S94.jpg,Greater than 3 inches
L108-BKS,Black/Silver,3 1/4,1 1/4,  1/2 ,10,95,closeout,https://i.postimg.cc/XY7X0f01/L108-BKS.jpg,Greater than 3 inches
L108-BRK,Black/Burgundy,3 1/4,1 1/4,  1/2 ,10,95,closeout,https://i.postimg.cc/0QmyCZpj/L108-BRK.jpg,Greater than 3 inches
L1101-BR230,Black,3  5/8 ,1  5/8 ,  3/8 ,8,76,closeout,https://i.postimg.cc/L5223S9Q/L1101-BR230.jpg,Greater than 3 inches
L1105ESC-BR263,Bronze,3 15/16,1  5/8 ,1,6,57,closeout,https://i.postimg.cc/m2ZTcT6t/L1105-ESC-BR263.jpg,Greater than 3 inches
L1105SC-BK,Black,3 15/16,1  5/8 ,1,6,57,closeout,https://i.postimg.cc/6pyw0YKK/L1105-SC-BK.jpg,Greater than 3 inches
L1105SC-BR109,Espresso,3 15/16,1  5/8 ,1,6,57,closeout,https://i.postimg.cc/4N8sVjrw/L1105-SC-BR109.jpg,Greater than 3 inches
L1105SC-BR263,Bronze,3 15/16,1  5/8 ,1,6,57,closeout,https://i.postimg.cc/4xqGFV49/L1105-SC-BR263.jpg,Greater than 3 inches
L1302-BR334,Espresso,3  1/2 ,1  1/2 ,  1/2 ,8,76,closeout,https://i.postimg.cc/0NSvgjrH/L1302-BR334.jpg,Greater than 3 inches
L1302-S345,Silver,3  1/2 ,1  1/2 ,  1/2 ,8,76,closeout,https://i.postimg.cc/50MVfJC9/L1302-S345.jpg,Greater than 3 inches
L1302S-BR333,Espresso,2  1/4 ,1  3/8 ,  3/8 ,18,171,closeout,https://i.postimg.cc/tg9Z4mMW/L1302-S-BR333.jpg,Between 2 and 3 inches
L1302S-BR335,Chestnut,2  1/4 ,1  3/8 ,  3/8 ,18,171,closeout,https://i.postimg.cc/Sj0jFZ9X/L1302-S-BR335.jpg,Between 2 and 3 inches
