name,color,width,height,rabbet,pcs,ft,condition,img_url
L1003R-BR300,Burnt,3  3/8 ,1,  3/8 ,12,114,N/A,https://i.postimg.cc/wvzqRzZM/L1003-R-BR300.jpg
L1003R-IV48,Ivory,3  3/8 ,1,  3/8 ,12,114,N/A,https://i.postimg.cc/1X5yMH9Z/L1003-R-IV48.jpg
L1003-S278,Silver,3  3/8 ,1,  3/8 ,12,114,N/A,https://i.postimg.cc/QtqXpPZb/L1003-S278.jpg
L1006C-G94,,N/A,N/A,N/A,8,76,N/A,https://thisisnotavalidurlthisisjustaplaceholderforthepicturefunctiontowork.cc/randomimagename.jpg
L1101-BR229,Walnut,3  5/8 ,1  5/8 ,  3/8 ,8,76,N/A,https://i.postimg.cc/FzWN6LRk/L1101-BR229.jpg
L1105ESC-BK,Black,3 15/16,1  5/8 ,1,6,57,N/A,https://i.postimg.cc/QN08CRbN/L1105-ESC-BK.jpg
L1302-BK112,Black,3  1/2 ,1  1/2 ,  1/2 ,8,76,N/A,https://i.postimg.cc/8Pc16tKR/L1302-BK112.jpg
L1302-BR317,Bronze,3  1/2 ,1  1/2 ,  1/2 ,8,76,N/A,https://i.postimg.cc/X7PncdmT/L1302-BR317.jpg
L1302-BR333,Walnut,3  1/2 ,1  1/2 ,  1/2 ,8,76,N/A,https://i.postimg.cc/K8gx94y4/L1302-BR333.jpg
L1302-BR335,Maple,3  1/2 ,1  1/2 ,  1/2 ,8,76,N/A,https://i.postimg.cc/R05929Md/L1302-BR335.jpg
L1302-G336,Champagne,3  1/2 ,1  1/2 ,  1/2 ,8,76,N/A,https://i.postimg.cc/PqWhjcJj/L1302-G336.jpg
L1302-S336,Silver,3  1/2 ,1  1/2 ,  1/2 ,8,76,N/A,https://i.postimg.cc/d1nY7yGN/L1302-S336.jpg
L1302S-BK112,Espresso,2  1/4 ,1  3/8 ,  3/8 ,18,171,N/A,https://i.postimg.cc/mkDG7gwL/L1302-S-BK112.jpg
L1302S-BR317,Bronze,2  1/4 ,1  3/8 ,  3/8 ,18,171,N/A,https://i.postimg.cc/hv5RsRy9/L1302-S-BR317.jpg
L1302S-BR334,Espresso,2  1/4 ,1  3/8 ,  3/8 ,18,171,N/A,https://i.postimg.cc/1RCSsDmf/L1302-S-BR334.jpg
L1302S-G336,Gold,2  1/4 ,1  3/8 ,  3/8 ,18,171,N/A,https://thisisnotavalidurlthisisjustaplaceholderforthepicturefunctiontowork.cc/randomimagename.jpg
L1302S-S336,,2  1/4 ,1  3/8 ,  3/8 ,18,171,N/A,https://thisisnotavalidurlthisisjustaplaceholderforthepicturefunctiontowork.cc/randomimagename.jpg
L1302S-S345,,2  1/4 ,1  3/8 ,  3/8 ,18,171,N/A,https://thisisnotavalidurlthisisjustaplaceholderforthepicturefunctiontowork.cc/randomimagename.jpg
L1302-W26,White,2  1/4 ,1  3/8 ,  3/8 ,8,76,N/A,https://i.postimg.cc/3JzHD7Dh/L1302-W26.jpg
L1501E-BK92,,N/A,N/A,N/A,10,95,N/A,https://thisisnotavalidurlthisisjustaplaceholderforthepicturefunctiontowork.cc/randomimagename.jpg
L902-S205,Silver,2 15/16,1  7/16,  9/16,12,114,N/A,https://i.postimg.cc/QtZtg19X/L902-S205.jpg
L904-2136,Bronze/Silver,4  3/16,1  3/4 ,  1/2 ,6,57,N/A,https://i.postimg.cc/wxVvJt6p/L904-2136.jpg
L904-5018,Black/Silver,4  3/16,1  3/4 ,  1/2 ,6,57,N/A,https://i.postimg.cc/Y0pCZ7zZ/L904-5018.jpg
L904-519NE,Espresso,4  3/16,1  3/4 ,  1/2 ,6,57,N/A,https://i.postimg.cc/k4N5TGKW/L904-519-NE.jpg
L904-551,Espresso/Gold,4  3/16,1  3/4 ,  1/2 ,6,57,N/A,https://i.postimg.cc/2y2SftH6/L904-551.jpg
L904-BR210,,4  3/16,1  3/4 ,  1/2 ,6,57,N/A,https://thisisnotavalidurlthisisjustaplaceholderforthepicturefunctiontowork.cc/randomimagename.jpg
L904-BR223,,4  3/16,1  3/4 ,  1/2 ,6,57,N/A,https://thisisnotavalidurlthisisjustaplaceholderforthepicturefunctiontowork.cc/randomimagename.jpg
LB05-BR110,Champagne,2,1  1/8 ,  1/2 ,24,228,N/A,https://i.postimg.cc/fRXQcFx9/LB05-BR110.jpg
LB05-GBK50,Black/Gold,2,1  1/8 ,  1/2 ,24,228,N/A,https://i.postimg.cc/s2rdwcc0/LB05-GBK50.jpg
M051-165,Gold,2 15/16,1  5/8 , 15/16,8,76,N/A,https://i.postimg.cc/cH1qNLPR/M051-165.jpg
M051-BK,Black,2 15/16,1  5/8 , 15/16,8,76,N/A,https://i.postimg.cc/vmtRjV28/M051-BK.jpg
M053-1057A,Gold,2  1/4 ,1  1/4 , 13/16,12,114,N/A,https://i.postimg.cc/gjrfnBzr/M053-1057-A.jpg
M053-1058A,Silver,2  1/4 ,1  1/4 ,1,12,114,N/A,https://i.postimg.cc/W35BpPPQ/M053-1058-A.jpg
M053-BR,Walnut,2  1/4 ,1  1/4 , 13/16,12,114,N/A,https://thisisnotavalidurlthisisjustaplaceholderforthepicturefunctiontowork.cc/randomimagename.jpg
M069-2051,Silver,2 13/16,1,  3/8 ,12,114,N/A,https://i.postimg.cc/PJc0ZzJy/M069-2051.jpg
M069-G525,Chestnut/Gold,2 13/16,1,  3/8 ,12,114,N/A,https://i.postimg.cc/h43kHgsm/M069-G525.jpg
M071-604E,White,2 13/16,1,  3/8 ,12,114,N/A,https://i.postimg.cc/htVNzmB8/M071-604-E.jpg
M079-3043,Espresso,2  7/8 ,  3/4 ,  3/8 ,16,152,N/A,https://i.postimg.cc/15nkST7j/M079-3043.jpg
M079C-BK109,,2  7/8 ,  3/4 ,  3/8 ,16,152,N/A,https://thisisnotavalidurlthisisjustaplaceholderforthepicturefunctiontowork.cc/randomimagename.jpg
M079C-BR268,,2  7/8 ,  3/4 ,  3/8 ,16,152,N/A,https://thisisnotavalidurlthisisjustaplaceholderforthepicturefunctiontowork.cc/randomimagename.jpg
M079C-BR300,,2  7/8 ,  3/4 ,  3/8 ,16,152,N/A,https://thisisnotavalidurlthisisjustaplaceholderforthepicturefunctiontowork.cc/randomimagename.jpg
