name,color,width,height,rabbet,pcs,ft,condition,img_url,category,mtype
G1000-155,Antique Gold,4  5/16,1  1/4 , 13/16,8,76,current,https://i.postimg.cc/Z5fpL74J/G1000-155.jpg,Greater than 3 inches,E
G1000-BU,Blue,4  5/16,1  1/4 , 13/16,8,76,closeout,https://i.postimg.cc/3xHCjbm4/G1000-BU.jpg,Greater than 3 inches,E
G1000-GBK50,Black/Gold,4  5/16,1  1/4 , 13/16,8,76,closeout,https://i.postimg.cc/0QGktGk0/G1000-GBK50.jpg,Greater than 3 inches,E
G1000-SBK50,Black/Silver,4  5/16,1  1/4 , 13/16,8,76,closeout,https://i.postimg.cc/Hx1W4vgL/G1000-SBK50.jpg,Greater than 3 inches,E
L005S-1118,Walnut,3 11/16,1  9/16,  9/16,6,57,current,https://i.postimg.cc/KYwT611V/L005s-1118.jpg,Greater than 3 inches,L
L005S-BRN,Walnut,3 11/16,1  9/16,  9/16,6,57,current,https://i.postimg.cc/FRSSNhcK/L005s-BRN.jpg,Greater than 3 inches,L
L005S-EBK,Black,3 11/16,1  9/16,  9/16,6,57,closeout,https://i.postimg.cc/Nj4T6GQS/L005s-EBK.jpg,Greater than 3 inches,L
L026N-230,Silver,3  5/8,1  1/4 ,  5/16 ,10,95,closeout,https://i.postimg.cc/JhzXPwnn/L026-N-230.jpg,Greater than 3 inches,L
L029C-BK109,Black,3  3/8 ,1  3/8 ,  7/8 ,8,76,current,https://i.postimg.cc/CM8SH3Ls/L029-C-BK109-edit.jpg,Greater than 3 inches,L
L029C-BR268,Grey,3  3/8 ,1  3/8 ,  7/8 ,8,76,closeout,https://i.postimg.cc/1RTCWkdM/L029-C-BR268.jpg,Greater than 3 inches,L
L029C-BR300,Burnt,3  3/8 ,1  3/8 ,  7/8 ,8,76,current,https://i.postimg.cc/TYqxBnby/L029-C-BR300-edit.jpg,Greater than 3 inches,L
L029C-BR309,Espresso,3  3/8 ,1  3/8 ,  7/8 ,8,76,current,https://i.postimg.cc/wxN6nQWp/L029-C-BR309.jpg,Greater than 3 inches,L
L029C-IV48,Ivory,3  3/8 ,1  3/8 ,  7/8 ,8,76,current,https://i.postimg.cc/02qxtVzR/L029-C-IV48-edit.jpg,Greater than 3 inches,L
L042-330,Walnut,3  1/8 ,1  7/16, 11/16,12,114,current,https://i.postimg.cc/WbnJPL0h/L042-330.jpg,Greater than 3 inches,L
L042-330S,Walnut,3  1/8 ,1  7/16, 11/16,12,114,closeout,https://i.postimg.cc/RCHHPLMc/L042-330-S.jpg,Greater than 3 inches,L
L042-BR110,Champagne,3  1/8 ,1  7/16, 11/16,12,114,closeout,https://i.postimg.cc/8cMfjNyy/L042-BR110.jpg,Greater than 3 inches,L
L042-BR216,Espresso,3  1/8 ,1  7/16, 11/16,12,114,closeout,https://i.postimg.cc/5N5FJ9Qy/L042-BR216.jpg,Greater than 3 inches,L
L042-GBK50,Black,3  1/8 ,1  7/16, 11/16,12,114,current,https://i.postimg.cc/t4gV73Pw/L042-GBK50.jpg,Greater than 3 inches,L
L043-551,Espresso,3  3/8 ,1  9/16,  7/16,8,76,current,https://i.postimg.cc/KctMJgz7/L043-551.jpg,Greater than 3 inches,L
L043-BR223,Walnut,3  3/8 ,1  9/16,  7/16,8,76,closeout,https://i.postimg.cc/L5FZmmyZ/L043-BR223.jpg,Greater than 3 inches,L
L045-560,Espresso,4  1/16,1  3/8 ,  7/16,8,76,current,https://i.postimg.cc/tgK1r8fG/L045-560.jpg,Greater than 3 inches,L
L046-265,Silver,3  1/4 ,1 13/16,  1/2 ,8,76,current,https://i.postimg.cc/cHfvPXyg/L046-265.jpg,Greater than 3 inches,L
L046-BR180,Walnut,3  1/8 ,1  3/4 ,  1/2 ,8,76,current,https://i.postimg.cc/VkH0tJW6/L046-BR180.jpg,Greater than 3 inches,L
L046-CR82,Burgundy,3  1/4 ,1 13/16,  1/2 ,8,76,closeout,https://i.postimg.cc/CxmBZvNV/L046-CR82.jpg,Greater than 3 inches,L
L052-3014,Walnut,4 1/2,2 1/8,  3/4 ,4,38,closeout,https://i.postimg.cc/mgg1LXSV/L052-3014.jpg,Greater than 3 inches,L
L058-3033,Walnut,3  5/16,1  1/8 ,  3/8 ,12,114,closeout,https://i.postimg.cc/XvqZ9wHB/L058-3033.jpg,Greater than 3 inches,L
L059-3053,Espresso,3  1/18,1  7/16,  7/16,8,76,current,https://i.postimg.cc/kMFVc1vL/L059-3053.jpg,Greater than 3 inches,L
L061-3087,Espresso,3  3/16,1  3/4 ,  3/8 ,8,76,closeout,https://i.postimg.cc/cJzvhr29/L061-3087.jpg,Greater than 3 inches,L
L061-3089,Gold,3  3/16,1  3/4 ,  3/8 ,8,76,closeout,https://i.postimg.cc/ydSkb7zV/L061-3089.jpg,Greater than 3 inches,L
L061-4017,Charcoal,3  3/16,1  3/4 ,  3/8 ,8,76,current,https://i.postimg.cc/3JtkMk6B/L061-4017.jpg,Greater than 3 inches,L
L061-BR1,Espresso,3  3/16,1  3/4 ,  3/8 ,8,76,current,https://i.postimg.cc/x8Rc18d9/L061-BR1.jpg,Greater than 3 inches,L
L062-BK,Espresso,3  9/16,1  9/16,  9/16,6,57,closeout,https://i.postimg.cc/hvLhKMj6/L062-BK.jpg,Greater than 3 inches,L
L062-BR210,Maple,3  9/16,1  9/16,  9/16,6,57,current,https://i.postimg.cc/YqF11k0w/L062-BR210.jpg,Greater than 3 inches,L
L062-BR223,Walnut,3  9/16,1  9/16,  9/16,6,57,current,https://i.postimg.cc/T3Xn0S55/L062-BR223.jpg,Greater than 3 inches,L
L066-3146,Walnut,3  5/8 ,1  3/16,  1/2 ,8,76,closeout,https://i.postimg.cc/905r3sWy/L066-3146.jpg,Greater than 3 inches,L
L066-4025,Charcoal,3  5/8 ,1  3/16,  1/2 ,8,76,closeout,https://i.postimg.cc/KcB17cNf/L066-4025.jpg,Greater than 3 inches,L
L072-1089,Gold,3  3/16,1  3/16,  3/8 ,12,114,current,https://i.postimg.cc/90VD2ZCx/L072-1089.jpg,Greater than 3 inches,L
L072-2089,Silver,3  3/16,1  3/16,  3/8 ,12,114,current,https://i.postimg.cc/pXWm1f0r/L072-2089.jpg,Greater than 3 inches,L
